,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Tag,Artist,Name,Popularity
592,0.358,0.235,2,-13.47,0,0.0441,0.806,0.934,0.106,0.171,160.338,audio_features,72wUS0PG5WcFXUhOHHlr7c,spotify:track:72wUS0PG5WcFXUhOHHlr7c,https://api.spotify.com/v1/tracks/72wUS0PG5WcFXUhOHHlr7c,https://api.spotify.com/v1/audio-analysis/72wUS0PG5WcFXUhOHHlr7c,144000,4,Study,Mondo Loops,Hidden In Dust,59
593,0.694,0.362,2,-14.444,1,0.0316,0.634,0.898,0.0881,0.103,134.049,audio_features,5TlzGNUNaNqyfPWoMtwiHk,spotify:track:5TlzGNUNaNqyfPWoMtwiHk,https://api.spotify.com/v1/tracks/5TlzGNUNaNqyfPWoMtwiHk,https://api.spotify.com/v1/audio-analysis/5TlzGNUNaNqyfPWoMtwiHk,171945,4,Study,S N U G,Nightfall,56
594,0.615,0.389,4,-13.736,0,0.035,0.965,0.817,0.158,0.0405,139.983,audio_features,63Kor293aoABGZTG65XfkU,spotify:track:63Kor293aoABGZTG65XfkU,https://api.spotify.com/v1/tracks/63Kor293aoABGZTG65XfkU,https://api.spotify.com/v1/audio-analysis/63Kor293aoABGZTG65XfkU,157723,4,Study,S N U G,Frost,57
595,0.585,0.255,8,-17.456,1,0.0289,0.9,0.772,0.172,0.143,62.011,audio_features,6zNar68iLaQvMXCoNqckLe,spotify:track:6zNar68iLaQvMXCoNqckLe,https://api.spotify.com/v1/tracks/6zNar68iLaQvMXCoNqckLe,https://api.spotify.com/v1/audio-analysis/6zNar68iLaQvMXCoNqckLe,178120,4,Study,S N U G,Alaska,58
596,0.667,0.301,7,-16.209,1,0.0381,0.922,0.894,0.0757,0.13,125.979,audio_features,6oopZP93Px6IPptFHEbgdg,spotify:track:6oopZP93Px6IPptFHEbgdg,https://api.spotify.com/v1/tracks/6oopZP93Px6IPptFHEbgdg,https://api.spotify.com/v1/audio-analysis/6oopZP93Px6IPptFHEbgdg,175278,4,Study,S N U G,Afloat,59
597,0.632,0.304,2,-13.869,1,0.0385,0.671,0.96,0.164,0.0749,147.983,audio_features,68txlgJfKXR3hoiFkW12SW,spotify:track:68txlgJfKXR3hoiFkW12SW,https://api.spotify.com/v1/tracks/68txlgJfKXR3hoiFkW12SW,https://api.spotify.com/v1/audio-analysis/68txlgJfKXR3hoiFkW12SW,143514,4,Study,S N U G,Lighthouse,59
598,0.411,0.137,2,-21.884,0,0.0483,0.829,0.857,0.15,0.122,76.541,audio_features,3h0huwqW2qLdBHUuiAki9e,spotify:track:3h0huwqW2qLdBHUuiAki9e,https://api.spotify.com/v1/tracks/3h0huwqW2qLdBHUuiAki9e,https://api.spotify.com/v1/audio-analysis/3h0huwqW2qLdBHUuiAki9e,150440,5,Study,S N U G,After Dark,56
599,0.689,0.345,10,-14.269,0,0.0324,0.848,0.844,0.0997,0.337,108.037,audio_features,3FVFf1ZmdcSvCtjTrroTmg,spotify:track:3FVFf1ZmdcSvCtjTrroTmg,https://api.spotify.com/v1/tracks/3FVFf1ZmdcSvCtjTrroTmg,https://api.spotify.com/v1/audio-analysis/3FVFf1ZmdcSvCtjTrroTmg,177812,4,Study,S N U G,Moonscapes,58
600,0.621,0.175,10,-11.102,1,0.0462,0.779,0.921,0.112,0.134,145.985,audio_features,1X8r22QsJQtva5MIrE5bEp,spotify:track:1X8r22QsJQtva5MIrE5bEp,https://api.spotify.com/v1/tracks/1X8r22QsJQtva5MIrE5bEp,https://api.spotify.com/v1/audio-analysis/1X8r22QsJQtva5MIrE5bEp,134803,4,Study,S N U G,Horizons,57
601,0.331,0.174,0,-17.378,1,0.0433,0.928,0.918,0.115,0.0967,73.224,audio_features,0DvSU5WfuqNlwGvoIbjxxS,spotify:track:0DvSU5WfuqNlwGvoIbjxxS,https://api.spotify.com/v1/tracks/0DvSU5WfuqNlwGvoIbjxxS,https://api.spotify.com/v1/audio-analysis/0DvSU5WfuqNlwGvoIbjxxS,160130,4,Study,S N U G,Paths,56
602,0.742,0.233,9,-19.274,1,0.129,0.768,0.929,0.116,0.113,93.888,audio_features,4m7WmpoaiWWAfGajlVTOCm,spotify:track:4m7WmpoaiWWAfGajlVTOCm,https://api.spotify.com/v1/tracks/4m7WmpoaiWWAfGajlVTOCm,https://api.spotify.com/v1/audio-analysis/4m7WmpoaiWWAfGajlVTOCm,143012,4,Study,S N U G,Dazed,58
603,0.531,0.249,2,-17.096,1,0.0285,0.738,0.936,0.109,0.107,71.979,audio_features,20qjvHCEXiHxmee7Tv2soU,spotify:track:20qjvHCEXiHxmee7Tv2soU,https://api.spotify.com/v1/tracks/20qjvHCEXiHxmee7Tv2soU,https://api.spotify.com/v1/audio-analysis/20qjvHCEXiHxmee7Tv2soU,165009,4,Study,S N U G,Nova,58
604,0.475,0.182,5,-16.958,1,0.0403,0.649,0.856,0.078,0.111,115.964,audio_features,1qby80od4b5aRoknkzvUIX,spotify:track:1qby80od4b5aRoknkzvUIX,https://api.spotify.com/v1/tracks/1qby80od4b5aRoknkzvUIX,https://api.spotify.com/v1/audio-analysis/1qby80od4b5aRoknkzvUIX,132419,4,Study,S N U G,It's Getting Late,56
605,0.468,0.272,7,-12.686,0,0.0332,0.933,0.406,0.0957,0.125,147.348,audio_features,7pnqdnBi2xBISxU2ayUcrW,spotify:track:7pnqdnBi2xBISxU2ayUcrW,https://api.spotify.com/v1/tracks/7pnqdnBi2xBISxU2ayUcrW,https://api.spotify.com/v1/audio-analysis/7pnqdnBi2xBISxU2ayUcrW,133784,4,Study,Mondo Loops,Elusive,56
